id,first_name,email,ip_address,movies,ip_system_provider,system_provider_frequency,system_performance
1,Debby,dmillery0@ow.ly,40.3.59.90,Comedy|War,76.4.206.161/6,Yearly,40
2,Orelle,ojonk1@topsy.com,189.144.194.114,Drama|War,46.72.100.200/5,Monthly,39
3,Dena,dbeart2@va.gov,243.39.222.81,Drama|Romance,60.58.11.171/3,Weekly,99
4,Ruth,rgaffon3@phpbb.com,218.174.184.224,Drama|Romance,97.237.44.183/17,Daily,31
5,Eran,ecuseick4@google.es,71.88.234.240,Comedy|Crime,158.47.26.254/3,Often,78
6,Etta,ebolstridge5@flavors.me,8.87.22.248,Action|Crime|Drama,179.35.46.107/16,Daily,40
7,Wakefield,whoultham6@bloglovin.com,121.94.145.83,Action|Drama|Sci-Fi,32.36.129.62/14,,
8,Braden,bdamsell7@gmpg.org,97.57.238.157,Documentary,225.109.8.148/31,Seldom,69
9,Thorsten,tmackissack8@illinois.edu,28.16.27.193,Comedy,165.105.78.101/15,Monthly,26
10,Brigit,bodocherty9@angelfire.com,178.50.13.116,Horror|Sci-Fi,123.97.0.177/23,Weekly,22
11,Valentine,vquinevana@vkontakte.ru,217.142.166.161,Drama,30.253.255.5/2,Once,90
12,Debbie,dfolletb@cnet.com,69.164.158.234,Adventure|Western,146.217.37.196/10,Seldom,8
13,Merv,mdeathc@shop-pro.jp,57.202.88.131,Crime,40.118.95.165/28,Yearly,3
14,Shamus,sminterd@sciencedirect.com,203.105.52.171,Action|Comedy|Mystery|Romance,232.191.129.202/7,Daily,67
15,Meagan,mrowelle@miibeian.gov.cn,51.76.91.146,Drama,98.53.167.127/18,Once,9
16,Adriena,ahargravesf@bloglines.com,11.168.88.151,Thriller,190.219.99.164/12,Yearly,85
17,Sabra,sschofflerg@free.fr,140.218.174.45,Adventure|Drama,158.143.82.103/7,,
18,Starla,skeigherh@posterous.com,10.85.1.71,Action|Drama|War,36.152.204.78/13,Never,58
19,Aundrea,amacchaelli@naver.com,202.216.233.110,Comedy,171.56.166.48/26,Often,74
20,Zonda,zbentsonj@rambler.ru,155.9.240.250,Drama,3.195.59.33/11,Often,42
21,Fleurette,fcracoek@ucla.edu,226.242.229.118,Crime|Drama,9.51.87.254/10,,
